EcoTypeID,VegID,CropSpecFrac
-999,GFCrop,1
3001,GFCrop,1
3002,GFCrop,1
3003,GFCrop,1
3004,GFCrop,1
3006,GFCrop,1
3007,GFCrop,1
3008,GFCrop,1
3009,GFCrop,1
3011,GFCrop,1
3012,GFCrop,1
3013,GFCrop,1
3014,GFCrop,1
3015,GFCrop,1
3016,GFCrop,1
3017,GFCrop,1
3018,GFCrop,1
3019,GFCrop,1
3020,GFCrop,1
3021,GFCrop,1
3022,GFCrop,1
3023,GFCrop,1
3024,GFCrop,1
3025,GFCrop,1
3026,GFCrop,1
3027,GFCrop,1
3028,GFCrop,1
3029,GFCrop,1
3030,GFCrop,1
3031,GFCrop,1
3032,GFCrop,1
3033,GFCrop,1
3034,GFCrop,1
3035,GFCrop,1
3036,GFCrop,1
3037,GFCrop,1
3038,GFCrop,1
3039,GFCrop,1
3041,GFCrop,1
3042,GFCrop,1
3043,GFCrop,1
3044,GFCrop,1
3045,GFCrop,1
3046,GFCrop,1
3047,GFCrop,1
3048,GFCrop,1
3049,GFCrop,1
3050,GFCrop,1
3051,GFCrop,1
3052,GFCrop,1
3053,GFCrop,1
3054,GFCrop,1
3055,GFCrop,1
3056,GFCrop,1
3057,GFCrop,1
3058,GFCrop,1
3059,GFCrop,1
3060,GFCrop,1
3061,GFCrop,1
3062,GFCrop,1
3063,GFCrop,1
3064,GFCrop,1
3065,GFCrop,1
3066,GFCrop,1
3067,GFCrop,1
3068,GFCrop,1
3070,GFCrop,1
3071,GFCrop,1
3072,GFCrop,1
3074,GFCrop,1
3075,GFCrop,1
3076,GFCrop,1
3077,GFCrop,1
3078,GFCrop,1
3079,GFCrop,1
3080,GFCrop,1
3081,GFCrop,1
3082,GFCrop,1
3083,GFCrop,1
3084,GFCrop,1
3085,GFCrop,1
3086,GFCrop,1
3087,GFCrop,1
3088,GFCrop,1
3090,GFCrop,1
3091,GFCrop,1
3092,GFCrop,1
3093,GFCrop,1
3094,GFCrop,1
3095,GFCrop,1
3096,GFCrop,1
3097,GFCrop,1
3098,GFCrop,1
3099,GFCrop,1
3100,GFCrop,1
3101,GFCrop,1
3103,GFCrop,1
3104,GFCrop,1
3105,GFCrop,1
3106,GFCrop,1
3107,GFCrop,1
3108,GFCrop,1
3109,GFCrop,1
3110,GFCrop,1
3111,GFCrop,1
3112,GFCrop,1
3113,GFCrop,1
3114,GFCrop,1
3115,GFCrop,1
3116,GFCrop,1
3117,GFCrop,1
3118,GFCrop,1
3119,GFCrop,1
3120,GFCrop,1
3121,GFCrop,1
3122,GFCrop,1
3123,GFCrop,1
3124,GFCrop,1
3125,GFCrop,1
3126,GFCrop,1
3127,GFCrop,1
3128,GFCrop,1
3129,GFCrop,1
3130,GFCrop,1
3131,GFCrop,1
3132,GFCrop,1
3133,GFCrop,1
3134,GFCrop,1
3135,GFCrop,1
3136,GFCrop,1
3137,GFCrop,1
3138,GFCrop,1
3139,GFCrop,1
3140,GFCrop,1
3141,GFCrop,1
3142,GFCrop,1
3143,GFCrop,1
3144,GFCrop,1
3145,GFCrop,1
3146,GFCrop,1
3147,GFCrop,1
3148,GFCrop,1
3149,GFCrop,1
3150,GFCrop,1
3151,GFCrop,1
3152,GFCrop,1
3153,GFCrop,1
3154,GFCrop,1
3155,GFCrop,1
3156,GFCrop,1
