EcoTypeID,VegID,HerbSpecFrac
-999,GFHerb,1
3001,GFHerb,1
3002,GFHerb,1
3003,GFHerb,1
3004,GFHerb,1
3006,GFHerb,1
3007,GFHerb,1
3008,GFHerb,1
3009,GFHerb,1
3011,GFHerb,1
3012,GFHerb,1
3013,GFHerb,1
3014,GFHerb,1
3015,GFHerb,1
3016,GFHerb,1
3017,GFHerb,1
3018,GFHerb,1
3019,GFHerb,1
3020,GFHerb,1
3021,GFHerb,1
3022,GFHerb,1
3023,GFHerb,1
3024,GFHerb,1
3025,GFHerb,1
3026,GFHerb,1
3027,GFHerb,1
3028,GFHerb,1
3029,GFHerb,1
3030,GFHerb,1
3031,GFHerb,1
3032,GFHerb,1
3033,GFHerb,1
3034,GFHerb,1
3035,GFHerb,1
3036,GFHerb,1
3037,GFHerb,1
3038,GFHerb,1
3039,GFHerb,1
3041,GFHerb,1
3042,GFHerb,1
3043,GFHerb,1
3044,GFHerb,1
3045,GFHerb,1
3046,GFHerb,1
3047,GFHerb,1
3048,GFHerb,1
3049,GFHerb,1
3050,GFHerb,1
3051,GFHerb,1
3052,GFHerb,1
3053,GFHerb,1
3054,GFHerb,1
3055,GFHerb,1
3056,GFHerb,1
3057,GFHerb,1
3058,GFHerb,1
3059,GFHerb,1
3060,GFHerb,1
3061,GFHerb,1
3062,GFHerb,1
3063,GFHerb,1
3064,GFHerb,1
3065,GFHerb,1
3066,GFHerb,1
3067,GFHerb,1
3068,GFHerb,1
3070,GFHerb,1
3071,GFHerb,1
3072,GFHerb,1
3074,GFHerb,1
3075,GFHerb,1
3076,GFHerb,1
3077,GFHerb,1
3078,GFHerb,1
3079,GFHerb,1
3080,GFHerb,1
3081,GFHerb,1
3082,GFHerb,1
3083,GFHerb,1
3084,GFHerb,1
3085,GFHerb,1
3086,GFHerb,1
3087,GFHerb,1
3088,GFHerb,1
3090,GFHerb,1
3091,GFHerb,1
3092,GFHerb,1
3093,GFHerb,1
3094,GFHerb,1
3095,GFHerb,1
3096,GFHerb,1
3097,GFHerb,1
3098,GFHerb,1
3099,GFHerb,1
3100,GFHerb,1
3101,GFHerb,1
