EcoTypeID,VegID,ShrubSpecFrac
-999,GFShrub,1
3001,GFShrub,1
3002,GFShrub,1
3003,GFShrub,1
3004,GFShrub,1
3006,GFShrub,1
3007,GFShrub,1
3008,GFShrub,1
3009,GFShrub,1
3011,GFShrub,1
3012,GFShrub,1
3013,GFShrub,1
3014,GFShrub,1
3015,GFShrub,1
3016,GFShrub,1
3017,GFShrub,1
3018,GFShrub,1
3019,GFShrub,1
3020,GFShrub,1
3021,GFShrub,1
3022,GFShrub,1
3023,GFShrub,1
3024,GFShrub,1
3025,GFShrub,1
3026,GFShrub,1
3027,GFShrub,1
3028,GFShrub,1
3029,GFShrub,1
3030,GFShrub,1
3031,GFShrub,1
3032,GFShrub,1
3033,GFShrub,1
3034,GFShrub,1
3035,GFShrub,1
3036,GFShrub,1
3037,GFShrub,1
3038,GFShrub,1
3039,GFShrub,1
3041,GFShrub,1
3042,GFShrub,1
3043,GFShrub,1
3044,GFShrub,1
3045,GFShrub,1
3046,GFShrub,1
3047,GFShrub,1
3048,GFShrub,1
3049,GFShrub,1
3050,GFShrub,1
3051,GFShrub,1
3052,GFShrub,1
3053,GFShrub,1
3054,GFShrub,1
3055,GFShrub,1
3056,GFShrub,1
3057,GFShrub,1
3058,GFShrub,1
3059,GFShrub,1
3060,GFShrub,1
3061,GFShrub,1
3062,GFShrub,1
3063,GFShrub,1
3064,GFShrub,1
3065,GFShrub,1
3066,GFShrub,1
3067,GFShrub,1
3068,GFShrub,1
3070,GFShrub,1
3071,GFShrub,1
3072,GFShrub,1
3074,GFShrub,1
3075,GFShrub,1
3076,GFShrub,1
3077,GFShrub,1
3078,GFShrub,1
3079,GFShrub,1
3080,GFShrub,1
3081,GFShrub,1
3082,GFShrub,1
3083,GFShrub,1
3084,GFShrub,1
3085,GFShrub,1
3086,GFShrub,1
3087,GFShrub,1
3088,GFShrub,1
3090,GFShrub,1
3091,GFShrub,1
3092,GFShrub,1
3093,GFShrub,1
3094,GFShrub,1
3095,GFShrub,1
3096,GFShrub,1
3097,GFShrub,1
3098,GFShrub,1
3099,GFShrub,1
3100,GFShrub,1
3101,GFShrub,1
3103,GFShrub,1
3104,GFShrub,1
3105,GFShrub,1
3106,GFShrub,1
3107,GFShrub,1
3108,GFShrub,1
3109,GFShrub,1
3110,GFShrub,1
3111,GFShrub,1
3112,GFShrub,1
3113,GFShrub,1
3114,GFShrub,1
3115,GFShrub,1
3116,GFShrub,1
3117,GFShrub,1
3118,GFShrub,1
3119,GFShrub,1
3120,GFShrub,1
3121,GFShrub,1
3122,GFShrub,1
3123,GFShrub,1
3124,GFShrub,1
3125,GFShrub,1
3126,GFShrub,1
3127,GFShrub,1
3128,GFShrub,1
3129,GFShrub,1
3130,GFShrub,1
3131,GFShrub,1
3132,GFShrub,1
3133,GFShrub,1
3134,GFShrub,1
3135,GFShrub,1
3136,GFShrub,1
3137,GFShrub,1
3138,GFShrub,1
3139,GFShrub,1
3140,GFShrub,1
3141,GFShrub,1
3142,GFShrub,1
3143,GFShrub,1
3144,GFShrub,1
3145,GFShrub,1
3146,GFShrub,1
3147,GFShrub,1
3148,GFShrub,1
3149,GFShrub,1
3150,GFShrub,1
3151,GFShrub,1
3152,GFShrub,1
3153,GFShrub,1
3154,GFShrub,1
3155,GFShrub,1
3156,GFShrub,1
3157,GFShrub,1
3158,GFShrub,1
3159,GFShrub,1
3160,GFShrub,1
3161,GFShrub,1
3162,GFShrub,1
3163,GFShrub,1
3164,GFShrub,1
3165,GFShrub,1
3166,GFShrub,1
3167,GFShrub,1
3168,GFShrub,1
3169,GFShrub,1
3170,GFShrub,1
3171,GFShrub,1
3172,GFShrub,1
3173,GFShrub,1
3174,GFShrub,1
3177,GFShrub,1
3178,GFShrub,1
3179,GFShrub,1
3180,GFShrub,1
3181,GFShrub,1
3182,GFShrub,1
3183,GFShrub,1
3184,GFShrub,1
3185,GFShrub,1
3186,GFShrub,1
3187,GFShrub,1
3191,GFShrub,1
3192,GFShrub,1
3193,GFShrub,1
3194,GFShrub,1
3195,GFShrub,1
3196,GFShrub,1
3199,GFShrub,1
3200,GFShrub,1
3201,GFShrub,1
3202,GFShrub,1
3203,GFShrub,1
3204,GFShrub,1
3205,GFShrub,1
3206,GFShrub,1
3207,GFShrub,1
3208,GFShrub,1
3209,GFShrub,1
3210,GFShrub,1
3211,GFShrub,1
3212,GFShrub,1
3213,GFShrub,1
3214,GFShrub,1
3215,GFShrub,1
3216,GFShrub,1
3217,GFShrub,1
3218,GFShrub,1
3219,GFShrub,1
3220,GFShrub,1
3221,GFShrub,1
3222,GFShrub,1
3223,GFShrub,1
3227,GFShrub,1
3228,GFShrub,1
3229,GFShrub,1
3230,GFShrub,1
3231,GFShrub,1
3232,GFShrub,1
3233,GFShrub,1
3234,GFShrub,1
3235,GFShrub,1
3236,GFShrub,1
3237,GFShrub,1
3238,GFShrub,1
3239,GFShrub,1
3240,GFShrub,1
3241,GFShrub,1
3242,GFShrub,1
3243,GFShrub,1
3244,GFShrub,1
3245,GFShrub,1
3247,GFShrub,1
3248,GFShrub,1
3249,GFShrub,1
3250,GFShrub,1
3251,GFShrub,1
3252,GFShrub,1
