EcoTypeID,VegID,treeSpecfrac
-999,GFUnk,1
3001,21188,0.310650331
3001,30153,0.118766988
3001,30107,0.099926336
3001,32000,0.099331055
3001,30148,0.067838814
3001,16,0.060475928
3001,21185,0.051072344
3001,30098,0.04122602
3001,21183,0.040047549
3001,31296,0.032506079
3001,31279,0.012629264
3001,31297,0.010569033
3001,32475,0.01025651
3001,30079,0.010157917
3001,30113,0.009720757
3001,29957,0.007851202
3001,21198,0.00710617
3001,24,0.00666436
3001,21177,0.001433326
3001,32478,0.000897573
3001,21620,0.000838044
3001,20,3.44E-05
3002,30098,0.35453274
3002,30118,0.129924261
3002,27,0.124714762
3002,30134,0.103051285
3002,16,0.085825097
3002,30079,0.071646366
3002,30148,0.033457326
3002,30086,0.02071409
3002,30122,0.016855898
3002,39774,0.013005792
3002,32426,0.00826623
3002,31296,0.007941602
3002,6130,0.007417917
3002,32000,0.003368754
3002,32587,0.003293126
3002,21185,0.003085983
3002,30153,0.002976109
3002,32507,0.00280892
3002,32450,0.002682636
3002,30158,0.001297083
3002,31999,0.000994335
3002,32460,0.000912762
3002,32513,0.0006269
3002,32478,0.000434264
3002,26921,0.000165762
3003,24,0.212146075
3003,30098,0.151905462
3003,32000,0.147810125
3003,39774,0.117705266
3003,39773,0.082931705
3003,30079,0.052523353
3003,1481,0.043099626
3003,9,0.040324574
3003,30148,0.034675426
3003,38754,0.030565551
3003,30134,0.025473413
3003,21619,0.015699851
3003,29957,0.013630829
3003,41590,0.012732163
3003,32507,0.00610257
3003,33,0.005065787
3003,31297,0.004030822
3003,20,0.003405663
3003,2584,0.000169011
3003,6130,2.73E-06
3004,21188,0.318570897
3004,30118,0.22732519
3004,30107,0.167063169
3004,32450,0.099084669
3004,21183,0.072783632
3004,21177,0.049813212
3004,16,0.034629934
3004,31999,0.015112614
3004,21198,0.01143339
3004,8068,0.00355203
3004,32468,0.000631263
3006,30098,0.246742916
3006,30148,0.162177134
3006,29957,0.140322669
3006,32000,0.138411162
3006,24,0.127102708
3006,20,0.044998337
3006,31296,0.033230392
3006,30079,0.021529246
3006,38754,0.014556599
3006,21185,0.01429278
3006,30113,0.012701769
3006,16,0.012049306
3006,21620,0.008775522
3006,30107,0.004743343
3006,410,0.004560492
3006,21198,0.004258213
3006,21619,0.004195464
3006,21188,0.004194114
3006,30134,0.000746925
3006,4961,0.00041091
3007,31270,0.657292528
