gridID,EcotypeID,EcotypeFrac
1,5314,0.9663
1,5539,0.0337
2,5314,0.6442
2,5539,0.3558
3,5314,0.9951
3,5539,0.0049
4,5539,0.1250
4,5314,0.8750
5,5539,0.0192
5,5314,0.9808
6,5314,1.0000
7,5314,1.0000
8,5314,1.0000
9,5314,1.0000
10,5314,1.0000
11,5314,1.0000
12,5314,0.0931
12,5423,0.9069
13,5423,0.3854
13,5314,0.6146
14,5314,1.0000
15,5314,1.0000
16,5314,0.8942
16,5419,0.1058
17,5314,0.0913
17,5419,0.9087
18,5419,1.0000
19,5419,1.0000
20,5419,1.0000
21,5419,1.0000
22,5419,1.0000
23,5419,1.0000
24,5419,1.0000
25,5419,1.0000
26,5419,0.4466
26,5423,0.5534
27,5423,1.0000
28,5423,0.6715
28,5315,0.3285
29,5315,0.0673
29,5423,0.9327
30,5423,1.0000
31,5423,1.0000
32,5423,1.0000
33,5423,1.0000
34,5423,1.0000
35,5423,1.0000
36,5423,1.0000
37,5423,0.9903
37,5315,0.0097
38,5423,0.9038
38,5419,0.0577
38,5315,0.0385
39,5423,0.4258
39,5315,0.5215
39,5419,0.0526
40,5423,0.1225
40,5315,0.8186
40,5419,0.0588
41,5315,0.4175
41,5419,0.5825
42,5315,0.2619
42,5419,0.7381
43,5315,0.3659
43,5419,0.6341
44,5315,0.1546
44,5419,0.8454
45,5315,0.0817
45,5419,0.9183
46,5419,1.0000
47,5419,0.7500
47,5315,0.2500
48,5419,0.4680
48,5315,0.5320
49,5315,0.9279
49,5419,0.0721
50,5315,1.0000
51,5315,1.0000
52,5315,1.0000
53,5315,1.0000
54,5315,1.0000
55,5315,1.0000
56,5315,0.5644
56,5427,0.4356
57,5427,1.0000
58,5427,0.6500
58,5428,0.3500
59,5428,0.9665
59,5427,0.0335
60,5427,0.0383
60,5428,0.9617
61,5428,1.0000
62,5428,1.0000
63,5428,1.0000
64,5428,1.0000
65,5428,1.0000
66,5428,1.0000
67,5428,1.0000
68,5428,1.0000
69,5428,1.0000
70,5428,1.0000
71,5428,1.0000
72,5428,1.0000
73,5428,1.0000
74,5428,1.0000
75,5428,1.0000
76,5428,0.6143
76,5380,0.2762
76,-999,0.1095
77,-999,0.1286
77,5380,0.8238
77,5428,0.0476
78,5380,0.6000
78,-999,0.4000
79,-999,0.2714
79,5380,0.7286
80,-999,0.7333
80,5380,0.2667
81,-999,1.0000
82,-999,1.0000
83,-999,1.0000
84,-999,1.0000
85,-999,1.0000
86,-999,1.0000
87,-999,1.0000
88,-999,1.0000
89,-999,1.0000
90,-999,1.0000
91,-999,1.0000
92,-999,1.0000
93,-999,1.0000
94,-999,1.0000
95,-999,1.0000
96,-999,1.0000
97,-999,1.0000
98,-999,1.0000
99,-999,1.0000
100,-999,1.0000
101,-999,1.0000
102,-999,1.0000
103,-999,1.0000
104,-999,1.0000
105,-999,1.0000
106,-999,1.0000
107,-999,1.0000
108,-999,1.0000
109,-999,1.0000
110,-999,1.0000
111,-999,1.0000
112,-999,1.0000
113,-999,1.0000
114,-999,1.0000
115,-999,1.0000
116,-999,1.0000
117,-999,1.0000
118,-999,1.0000
119,-999,1.0000
120,-999,1.0000
