RefID,VegID,CAS,LDfrac,J-rating,Veg Description,ClassIDPlus,Comments,Comments2
Guenther2012,GFHerb,1,1,4,default grass,1,class01 isoprene,
Guenther2012,GFShrub,1,1,4,default shrub,1,class01 isoprene,
Guenther2012,GFNtr,1,1,4,default btree,1,class01 isoprene,
Guenther2012,GFCrop,1,1,4,default ntree,1,class01 isoprene,
Guenther2012,GFBtr,1,1,4,default btree,1,class01 isoprene,
Guenther2012,GFHerb,2,1,4,default grass,2,class02 MBO,
Guenther2012,GFShrub,2,1,4,default shrub,2,class02 MBO,
Guenther2012,GFNtr,2,1,4,default btree,2,class02 MBO,
Guenther2012,GFCrop,2,1,4,default ntree,2,class02 MBO,
Guenther2012,GFBtr,2,1,4,default btree,2,class02 MBO,
Guenther2012,GFHerb,3,0.5,4,default grass,3,class03 pinene  <alpha> and other ,
Guenther2012,GFShrub,3,0.5,4,default shrub,3,class03 pinene  <alpha> and other ,
Guenther2012,GFNtr,3,0.5,4,default btree,3,class03 pinene  <alpha> and other ,
Guenther2012,GFCrop,3,0.5,4,default ntree,3,class03 pinene  <alpha> and other ,
Guenther2012,GFBtr,3,0.5,4,default btree,3,class03 pinene  <alpha> and other ,
Guenther2012,GFHerb,4,0.9,4,default grass,4,class04 Myrcene and other ,
Guenther2012,GFShrub,4,0.9,4,default shrub,4,class04 Myrcene and other ,
Guenther2012,GFNtr,4,0.9,4,default btree,4,class04 Myrcene and other ,
Guenther2012,GFCrop,4,0.9,4,default ntree,4,class04 Myrcene and other ,
Guenther2012,GFBtr,4,0.9,4,default btree,4,class04 Myrcene and other ,
Guenther2012,GFHerb,5,0.3,4,default grass,5,class05 Camphene and other ,
Guenther2012,GFShrub,5,0.3,4,default shrub,5,class05 Camphene and other ,
Guenther2012,GFNtr,5,0.3,4,default btree,5,class05 Camphene and other ,
Guenther2012,GFCrop,5,0.3,4,default ntree,5,class05 Camphene and other ,
Guenther2012,GFBtr,5,0.3,4,default btree,5,class05 Camphene and other ,
Guenther2012,GFHerb,6,0.3,4,default grass,6,class06 phellandrene <alpha-> and other ,
Guenther2012,GFShrub,6,0.3,4,default shrub,6,class06 phellandrene <alpha-> and other ,
Guenther2012,GFNtr,6,0.3,4,default btree,6,class06 phellandrene <alpha-> and other ,
Guenther2012,GFCrop,6,0.3,4,default ntree,6,class06 phellandrene <alpha-> and other ,
Guenther2012,GFBtr,6,0.3,4,default btree,6,class06 phellandrene <alpha-> and other ,
Guenther2012,GFHerb,7,0.1,4,default grass,7,class07 cymene <para-> and other ,
Guenther2012,GFShrub,7,0.1,4,default shrub,7,class07 cymene <para-> and other ,
Guenther2012,GFNtr,7,0.1,4,default btree,7,class07 cymene <para-> and other ,
Guenther2012,GFCrop,7,0.1,4,default ntree,7,class07 cymene <para-> and other ,
Guenther2012,GFBtr,7,0.1,4,default btree,7,class07 cymene <para-> and other ,
Guenther2012,GFHerb,8,0.1,4,default grass,8,class08 camphor and other ,
Guenther2012,GFShrub,8,0.1,4,default shrub,8,class08 camphor and other ,
Guenther2012,GFNtr,8,0.1,4,default btree,8,class08 camphor and other ,
Guenther2012,GFCrop,8,0.1,4,default ntree,8,class08 camphor and other ,
Guenther2012,GFBtr,8,0.1,4,default btree,8,class08 camphor and other ,
Guenther2012,GFHerb,9,0.5,4,default grass,9,class09 b-caryophyllene and other ,
Guenther2012,GFShrub,9,0.5,4,default shrub,9,class09 b-caryophyllene and other ,
Guenther2012,GFNtr,9,0.5,4,default btree,9,class09 b-caryophyllene and other ,
Guenther2012,GFCrop,9,0.5,4,default ntree,9,class09 b-caryophyllene and other ,
Guenther2012,GFBtr,9,0.5,4,default btree,9,class09 b-caryophyllene and other ,
Guenther2012,GFHerb,10,0.4,4,default grass,10,class10 Kaurene and other ,
Guenther2012,GFShrub,10,0.4,4,default shrub,10,class10 Kaurene and other ,
Guenther2012,GFNtr,10,0.4,4,default btree,10,class10 Kaurene and other ,
Guenther2012,GFCrop,10,0.4,4,default ntree,10,class10 Kaurene and other ,
Guenther2012,GFBtr,10,0.4,4,default btree,10,class10 Kaurene and other ,
Guenther2012,GFHerb,11,0.8,4,default grass,11,class11 methanol,
Guenther2012,GFShrub,11,0.8,4,default shrub,11,class11 methanol,
Guenther2012,GFNtr,11,0.8,4,default btree,11,class11 methanol,
Guenther2012,GFCrop,11,0.8,4,default ntree,11,class11 methanol,
Guenther2012,GFBtr,11,0.8,4,default btree,11,class11 methanol,
Guenther2012,GFHerb,12,0.2,4,default grass,12,class12 acetone,
Guenther2012,GFShrub,12,0.2,4,default shrub,12,class12 acetone,
Guenther2012,GFNtr,12,0.2,4,default btree,12,class12 acetone,
Guenther2012,GFCrop,12,0.2,4,default ntree,12,class12 acetone,
Guenther2012,GFBtr,12,0.2,4,default btree,12,class12 acetone,
Guenther2012,GFHerb,13,0.8,4,default grass,13,class13 acetaldehyde and ethanol,
Guenther2012,GFShrub,13,0.8,4,default shrub,13,class13 acetaldehyde and ethanol,
Guenther2012,GFNtr,13,0.8,4,default btree,13,class13 acetaldehyde and ethanol,
Guenther2012,GFCrop,13,0.8,4,default ntree,13,class13 acetaldehyde and ethanol,
Guenther2012,GFBtr,13,0.8,4,default btree,13,class13 acetaldehyde and ethanol,
Guenther2012,GFHerb,14,0.8,4,default grass,14,class14 formic acid et al,
Guenther2012,GFShrub,14,0.8,4,default shrub,14,class14 formic acid et al,
Guenther2012,GFNtr,14,0.8,4,default btree,14,class14 formic acid et al,
Guenther2012,GFCrop,14,0.8,4,default ntree,14,class14 formic acid et al,
