RefID,VegID,CAS,ERuggh,ERnmm2s,J-rating,Position,ClassPlusID,Veg_Description,Approach,platform,Comments,Comments2
Acton2016,390,1,0,-999,0,2,1,Acer campestre,Enclosure,Enclosure,2012.6-7,
Acton2016,390,3,2.1359,-999,0,2,3,Acer campestre,Enclosure,Enclosure,2012.6,
Acton2016,390,3,3.3662,-999,0,2,3,Acer campestre,Enclosure,Enclosure,2012.6,
Acton2016,390,4,0.9612,-999,0,2,4,Acer campestre,Enclosure,Enclosure,2012.6,
Acton2016,390,5,0.2363,-999,0,2,5,Acer campestre,Enclosure,Enclosure,2012.6,
Acton2016,390,6,1.2935,-999,0,2,6,Acer campestre,Enclosure,Enclosure,2012.6,
Acton2016,390,7,0.059,-999,0,2,7,Acer campestre,Enclosure,Enclosure,2012.6,
Acton2016,7561,1,0.02,-999,0,2,1,Carpinus betulus,Enclosure,Enclosure,2012.6-7,
Acton2016,7561,3,0.4763,-999,0,2,3,Carpinus betulus,Enclosure,Enclosure,2012.6,
Acton2016,7561,3,3.1921,-999,0,2,3,Carpinus betulus,Enclosure,Enclosure,2012.6,
Acton2016,7561,4,1.3665,-999,0,2,4,Carpinus betulus,Enclosure,Enclosure,2012.6,
Acton2016,7561,5,0.4069,-999,0,2,5,Carpinus betulus,Enclosure,Enclosure,2012.6,
Acton2016,7561,6,5.4258,-999,0,2,6,Carpinus betulus,Enclosure,Enclosure,2012.6,
Acton2016,7561,7,0.1017,-999,0,2,7,Carpinus betulus,Enclosure,Enclosure,2012.6,
Acton2016,10312,1,3.07,-999,0,2,1,Cornus sanguinea,Enclosure,Enclosure,2012.6-7,
Acton2016,10312,3,0.1581,-999,0,2,3,Cornus sanguinea,Enclosure,Enclosure,2012.6,
Acton2016,10312,3,1.2003,-999,0,2,3,Cornus sanguinea,Enclosure,Enclosure,2012.6,
Acton2016,10312,4,0.7629,-999,0,2,4,Cornus sanguinea,Enclosure,Enclosure,2012.6,
Acton2016,10312,5,0.1528,-999,0,2,5,Cornus sanguinea,Enclosure,Enclosure,2012.6,
Acton2016,10312,6,2.0549,-999,0,2,6,Cornus sanguinea,Enclosure,Enclosure,2012.6,
Acton2016,10312,7,0.0382,-999,0,2,7,Cornus sanguinea,Enclosure,Enclosure,2012.6,
Acton2016,10384,1,0,-999,0,2,1,Corylus avellana,Enclosure,Enclosure,2012.6-7,
Acton2016,10384,3,0.2592,-999,0,2,3,Corylus avellana,Enclosure,Enclosure,2012.6,
Acton2016,10384,3,3.4932,-999,0,2,3,Corylus avellana,Enclosure,Enclosure,2012.6,
Acton2016,10384,4,1.5516,-999,0,2,4,Corylus avellana,Enclosure,Enclosure,2012.6,
Acton2016,10384,5,0.4849,-999,0,2,5,Corylus avellana,Enclosure,Enclosure,2012.6,
Acton2016,10384,6,6.7779,-999,0,2,6,Corylus avellana,Enclosure,Enclosure,2012.6,
Acton2016,10384,7,0.1212,-999,0,2,7,Corylus avellana,Enclosure,Enclosure,2012.6,
Acton2016,32553,1,13,-999,0,2,1,Quercus robur,Enclosure,Enclosure,2012.6-7,
Acton2016,32553,3,-999,0,0,2,3,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,3,0.168,-999,0,2,3,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,3,0.2765,-999,0,2,3,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,3,1.1116,-999,0,2,3,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,4,0.4456,-999,0,2,4,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,4,0.7629,-999,0,2,4,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,5,0.0192,-999,0,2,5,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,5,0.1528,-999,0,2,5,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,6,0.2179,-999,0,2,6,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,6,1.9628,-999,0,2,6,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,7,0.0048,-999,0,2,7,Quercus robur,Enclosure,Enclosure,2012.6,
Acton2016,32553,7,0.0382,-999,0,2,7,Quercus robur,Enclosure,Enclosure,2012.6,
Anderson2000,32585,1,34,33.2,0,2,1,Quercus virginiana,Enclosure,leaf,symptomatic leaves; midday (09:00-17:30h); 1996.8-12;sunlit,
Anderson2000,32585,1,46.6,42.8,3,2,1,Quercus virginiana,Enclosure,leaf,healthy leaves on branches with symptomatic leaves; midday (09:00-17:30h); 1996.8-11;sunlit,
Anderson2000,32585,1,49.9,42.8,3,2,1,Quercus virginiana,Enclosure,leaf,healthy leaves on  survivor trees; midday (09:00-17:30h); 1996.8-10;sunlit,
Anderson2000,32585,1,60.9,50.9,3,2,1,Quercus virginiana,Enclosure,leaf,healthy leaves on healthy trees; midday (09:00-17:30h); 1996.8-9;sunlit,
Apel2002,TEOWtree5331,1,-999,37.5,4,2,1,5331,micromet flux,tower,umbs,mixed forest
Arnts1982,30166,3,4.8,-999,0,2,3,Pinus taeda,Enclosure,Enclosure,,a-pinene
Aydin2014,15,3,0.558,-999,0,2,3,Abies cilicica,Enclosure,Enclosure,middle age trees (20-40 years old); midday (10:00-14:00); sunlit; 2011.9,
Aydin2014,15,3,0.5629,-999,0,2,3,Abies cilicica,Enclosure,Enclosure,middle age trees; 2011.6-10; 2012.5-11,
Aydin2014,15,4,0.5927,-999,0,2,4,Abies cilicica,Enclosure,Enclosure,middle age trees (20-40 years old); midday (10:00-14:00); sunlit; 2011.9,
Aydin2014,15,4,0.5944,-999,0,2,4,Abies cilicica,Enclosure,Enclosure,middle age trees; 2011.6-10; 2012.5-11,
Aydin2014,15,5,0.0811,-999,0,2,5,Abies cilicica,Enclosure,Enclosure,middle age trees (20-40 years old); midday (10:00-14:00); sunlit; 2011.9,
Aydin2014,15,5,0.0818,-999,0,2,5,Abies cilicica,Enclosure,Enclosure,middle age trees; 2011.6-10; 2012.5-11,
Aydin2014,15,6,0.1623,-999,0,2,6,Abies cilicica,Enclosure,Enclosure,middle age trees (20-40 years old); midday (10:00-14:00); sunlit; 2011.9,
Aydin2014,15,6,0.1637,-999,0,2,6,Abies cilicica,Enclosure,Enclosure,middle age trees; 2011.6-10; 2012.5-11,
Aydin2014,15,7,0.0202,-999,0,2,7,Abies cilicica,Enclosure,Enclosure,middle age trees (20-40 years old); midday (10:00-14:00); sunlit; 2011.9,
