RefID,RefCode,RefAuthor,RefYear,Citation
415,Acton2016,Acton,2016,"""Canopy-scale flux measurements and bottom-up emission estimates of volatile organic compounds from a mixed oak and hornbeam forest in northern Italy"", Atmospheric Chemistry and Physics, 2016, 16: 7149-7170."
171,Agelopoulos2000,Agelopoulos,2000,"N. Agelopoulos, K. Chamberlain, and J. A. Pickett, ?Factors affecting volatile emissions of intact potato plants, Solanum tuberosum: Variability of quantities and stability of ratios,? Journal of Chemical Ecology, 26, 497-511, 2000."
372,Ahrar2015,Ahrar,2015,"Ahrar, M., D. Doneva, D. Koleva, A. Romano, M. Rodeghiero, T. Tsonev, F. Biasioli, M. Stefanova, V. Peeva, G. Wohlfahrt, F. Loreto, C. Varotto and V. Velikova (2015). ""Isoprene emission in the monocot Arundineae tribe in relation to functional and structural organization of the photosynthetic apparatus."" Environmental and Experimental Botany(0)."
364,Alves2014,Alves,2014,"Alves, E. G., P. Harley, J. F. D. Goncalves, C. E. D. Moura and K. Jardine (2014). ""Effects of light and temperature on isoprene emission at different leaf developmental stages of Eschweilera coriacea in central Amazon."" Acta Amazonica 44(1): 9-18."
172,Anderson2000,Anderson,2000,"Anderson, L. J., P. C. Harley, R. K. Monson and R. B. Jackson (2000). ""Reduction of isoprene emissions from live oak (Quercus fusiformis) with oak wilt."" Tree Physiology 20(17): 1199-1203."
226,Apel2002,Apel,2002,"E. Apel, D. D. Riemer, A. Hills, W. Baugh, J. Orlando, I. Faloona, D. Tan, W. Brune, B. Lamb, and H. Westberg, ?Measurement and interpretation of isoprene fluxes and isoprene, methacrolein, and methyl vinyl ketone mixing ratios at the PROPHET site during the 1998 Intensive,? Journal of Geophysical Research, 107, ACH 7-1-ACH 7-15, doi 10 1029/2000JD000225, 2002."
49,Arey1991a,Arey,1991," J. Arey, A. M. Winer, R. Atkinson, S. M. Aschmann, W. D. Long, C. L. Morrison, and D. M. Olszyk, ?Terpenes Emitted from Agricultural Species Found in California Central Valley,? Journal of Geophysical Research-Atmospheres, 96, 9329-9336, 1991."
50,Arey1991b,Arey,1991,"J.Arey, A. M. Winer, R. Atkinson, S. M. Aschmann, W. D. Long, and C. L. Morrison, ?The emission of (Z)-3-Hexen-1-ol, (Z)-3-Hexenylacetate and other oxygenated hydrocarbons from agricultural plant species,? Atmospheric Environment, 25A, 1063-1075, 1991b."
78,Arey1995,Arey,1995,"J. Arey, D. E. Crowley, M. Crowley, M. Resketo, and J. Lester, ?Hydrocarbon Emissions from Natural Vegetation in California South-Coast-Air-Basin,? Atmospheric Environment, 29, 2977-2988, 1995."
15,Arnts1982,Arnts,1982,"R. Arnts, W. B. Petersen, R. L. Seila, and B. W. Gay, ?Estimates of Alpha-Pinene Emissions from a Loblolly-Pine Forest Using an Atmospheric Diffusion-Model,? Atmospheric Environment, 16, 2127-2137, 1982."
402,Aydin2014a,Aydin,2014,"Y.M. Aydin, B. Yaman, H. Koca, O. Dasdemir, M. Kara. H. Altiok, Y. Dumanoqlu, A. Bayram, D. Tolunay, M. Odabasi and T. Elbir.""Biogenic volatile organic compound (BVOC) emissions from forested areas in Turkey: Determination of specific emission rates for thirty-one tree species"", Science of the Total Environment, 2014, 490: 239-253."
405,Aydin2014b,Aydin,2014,"Y. M. Aydin, B. Yaman, H. Koca, H. Altiok, Y. Dumanoglu, M. Kara, A. Bayram, D. Tolunay, M. Odabasi and T. Elbir, ""Comparison Of Biogenic Volatile Organic Compound Emissions From Broad Leaved And Coniferous Trees In Turkey"", Environmental Impact ?, 2014, 181(12): 647-658."
37,Ayers1988,Ayers,1988,"G. Ayers and R. W. Gillett, ?Isoprene Emissions from Vegetation and Hydrocarbon Emissions from Bushfires in Tropical Australia,? Journal of Atmospheric Chemistry, 7, 177-190, 1988."
35,Baazov1987,Baazov,1987,"Baazov D and G. Sanadze,  Action spectrum and enhancement effect of isoprene production in poplar leaves, Soviet plant physiology, 34: 2, 1987."
342,Back2012,Back,2012," J. BÑck, J. Aalto, M. Henriksson, H. Hakola, Q. He, and M. Boy, ?Chemodiversity of a Scots pine stand and implications for terpene air concentrations,? Biogeosciences, 9(2), 689-702, 2012."
343,Baghi2012,Baghi,2012,"R. Baghi, D. Helmig, A. Guenther, T. Duhl, and R. Daly, ?Contribution of flowering trees to urban atmospheric biogenic volatile organic compound emissions,? Biogeosciences, 9, 3777-3785, 2012."
448,Bai1995,Bai,1995,"Y.H. Bai, J.L. Li, M.P. Zhao, Y. Xia and X.Y. Tang. ""Relative factor of hydrocarbons emission from popular tree"", Environmental  Chemistry, 1995, 14(2): 118-123.; http://www.cnki.com.cn/Article/CJFDTotal-HJHX199502004.htm"
449,Bai2001,Bai,2001,"J.H. Bai and M.X. Wang. ""A study of the Nonmethane Hydrocarbons at subtropical forest Part?: Diurnal variation"", Climate and Environmental Research, 2001, 6(4): 456-466.;  http://dx.doi.org/10.3969/j.issn.1006-9585.2001.04.010"
267,Bai2006,Bai,2006," J. Bai, B. Baker, B. S. Liang, J. Greenberg, and A. Guenther, ?Isoprene and monoterpene emissions from an Inner Mongolia grassland,? Atmospheric Environment, 40(30), 5753-5758, 2006."
344,Bai2012,Bai,2012,"J.H. Bai, F. Lin, X. Wan, A. Guenther, A. Turnipseed, and T. Duhl, ?Volatile organic compound emission fluxes from a temperate forest in Changbai Mountain,? Acta Scientiae Circumstantiae, 32(3), 545-554, 2012."
373,Bai2015,Bai,2015,"Bai, J., A. Guenther, A. Turnipseed and T. Duhl (2015). ""Seasonal and interannual variations in whole ecosystem isoprene and monoterpene emissions from a temperate mixed forest in Northern China."" Atmospheric Pollution Research 6: 696-707."
145,Baker1999,Baker,1999,"23. B. Baker, A. Guenther, J. Greenberg, A. Goldstein, and R. Fall, ?Canopy fluxes of 2-methyl-3-buten-2-ol over a ponderosa pine forest by relaxed eddy accumulation: Field data and model comparison,? Journal of Geophysical Research-Atmospheres, 104, 26107-26114, 1999."
195,Baker2001,Baker,2001,"24. B. Baker, A. Guenther, J. Greenberg, and R. Fall, ?Canopy Level Fluxes of 2-Methyl-3-buten-2-ol, Acetone, and Methanol by a Portable Relaxed Eddy Accumulation System,? Environmental Science and Technology, 35, 8, 2001."
256,Baker2005,Baker,2005,"187. B. Baker, J. H. Bai, C. Johnson, Z. T. Cai, Q. J. Li, Y. F. Wang, A. Guenther, J. Greenberg, L. Klinger, C. Geron, and R. Rasmussen, ?Wet and dry season ecosystem level fluxes of isoprene and monoterpenes from a southeast Asian secondary forest and rubber tree plantation,? Atmospheric Environment, 39, 381-390, 2005."
327,Bamberger2011,Bamberger,2011,"25. I. Bamberger, L. Hîrtnagl, T. M. Ruuskanen, R. Schnitzhofer, M. MÅller, M. Graus, T. Karl, G. Wohlfahrt, and A. Hansel, ""Deposition fluxes of terpenes over grassland,"" J. Geophys. Res. 116 (D14), D14305 (2011)."
437,Bao2007,Bao,2007,"H. Bao, A. Kondo, A. Kaga, M. Tada, K. Sakaguti, Y. Inoue, Y. Shimoda, D. Narumi and T. Machimura. ""Biogenic volatile organic compound emission potential of forests and paddy fields in the Kinki region of Japan"", Environmental Research, 2007, 106(2): 156-169."
457,Bao2014,Bao,2014,"H. Bao, L. Li, Y. Wu, N. Ta, G. Dai and W.Y. Bai. ""Determination of the volatile organic compunds emission from several greening tree species in Hohhot, China"", Chinese Society For Environmental Sciences Annual Conference Proceedings, 2014; http://cpfd.cnki.com.cn/Article/CPFDTOTAL-HJKP201408010012.htm"
303,Barney2009,Barney,2009,"26. J. Barney, J. P. Sparks, J. Greenberg, T. H. Whitlow, and A. Guenther, ?Biogenic volatile organic compounds from an invasive species: impacts on plant-plant interactions,? Plant Ecology, 203, 195-205, 2009."
416,Behnke2012,Behnke,2012,"K. Behnke, R. Grote, N. Bruggemann, I. Zimmer, G.W. Zhou, M. Elobeid, D. Janz, A. Polle and J.R. Schnitzler. ""Isoprene emission-free poplars ñ a chance to reduce the impact from poplar plantations on the atmosphere"", New Phytologis, 2012, 194(1): 70-82."
358,Behnke2013,Behnke,2013,"Behnke, K., A. Ghirardo, D. Janz, B. Kanawati, J. Esperschutz, I. Zimmer, P. Schmitt-Kopplin, U. Niinemets, A. Polle, J. P. Schnitzler and M. Rosenkranz (2013). ""Isoprene function in two contrasting poplars under salt and sunflecks."" Tree Physiology 33(6): 562-578."
87,Benjamin1996,Benjamin,1996,"Benjamin, M. T., M. Sudol, L. Bloch and A. M. Winer (1996). ""Low-emitting urban forests: A taxonomic methodology for assigning isoprene and monoterpene emission rates."" Atmospheric Environment 30(9): 1437-1452."
383,Berner2016,Berner,2016,"Berner, L. T., and Law, B. E.: Plant traits, productivity, biomass and soil properties from forest sites in the Pacific Northwest, 1999?2014, Scientific Data, 3, 160002, 10.1038/sdata.2016.2, 2016."
106,Bertin1997,Bertin,1997,"Bertin, N., M. Staudt, U. Hansen, G. Seufert, P. Ciccioli, P. Foster, J. L. Fugit and L. Torres (1997). ""Diurnal and seasonal course of monoterpene emissions from Quercus ilex (L.) under natural conditions - Applications of light and temperature algorithms."" Atmospheric Environment 31: 135-144."
196,Bonsang2001,Bonsang,2001,"27. B. Bonsang, G.K Moortgat, and C.S. Pio, ?Overview of the FIELDVOC'94 experiment in a eucalyptus forest of Portugal,? Chemosphere-Global Change Science, 3, 211-226, 2001."
79,Bottenheim1995,Bottenheim,1995,"28. J. W. Bottenheim and M.F. Shepherd, ?C2-C6 Hydrocarbon Measurements at four Rural Locations Across Canada,? Atmospheric Environment, 29, 647-664, 1995."
421,Bourtsoukidis2012,Bourtsoukidis,2012,"E. Bourtsoukidis, B. Bonn, A. Dittmann, H. Hakola, H. Hellen and S. Jacobi, ""Ozone stress as a driving force of sesquiterpene emissions: a suggested parameterisation"", Biogeosciences, 2012, 9: 4337-4352."
395,Bourtsoukidis2014a,Bourtsoukidis,2014,"E. Bourtsoukidis, J. Williams, J. Kesselmeier, S. jacobi and B. Bonn. ""From emissions to ambient mixing ratios: online seasonal field measurements of volatile organic compounds over a Norway spruce-dominated forest in central Germany"", Atmospheric Chemistry and Physics, 2014, 14: 6495-6510."
