VegID,Veg_Description,Common_Name,genus,Family,GrowthForm,Lifespan,specific type,Comment
1,Abelia,abelia,Abelia,Caprifoliaceae,Shrub,Long,1,Shrub
2,Abelia x grandiflora,glossy abelia,Abelia,Caprifoliaceae,Shrub,Long,1,Shrub
3,Abelmoschus,okra,Abelmoschus,Malvaceae,Shrub,Long,1,Shrub
4,Abelmoschus esculentus,okra,Abelmoschus,Malvaceae,Shrub,Long,1,Subshrub
5,Abelmoschus manihot,,Abelmoschus,Malvaceae,Unknown,Moderate,1,Unknown
6,Abelmoschus moschatus,musk okra,Abelmoschus,Malvaceae,Shrub,Long,1,Shrub
7,Abies,fir,Abies,Pinaceae,Ntr,Long,1,Tree
8,Abies alba,silver fir,AbiesIso2,Pinaceae,Ntr,Long,1,Tree
9,Abies amabilis,Pacific silver fir,Abies,Pinaceae,Ntr,Long,1,Tree
10,Abies balsamea,balsam fir,Abies,Pinaceae,Ntr,Long,1,Tree
11,Abies balsamea var. balsamea,balsam fir,Abies,Pinaceae,Ntr,Long,1,Tree
12,Abies balsamea var. phanerolepis,,Abies,Pinaceae,Ntr,Long,1,Tree
13,Abies bracteata,bristlecone fir,Abies,Pinaceae,Ntr,Long,1,Tree
14,Abies cephalonica,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
15,Abies cilicica,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
16,Abies concolor,white fir,Abies,Pinaceae,Ntr,Long,1,Tree
17,Abies concolor var. concolor,white fir,Abies,Pinaceae,Ntr,Long,1,Tree
18,Abies concolor var. lowiana,white fir,Abies,Pinaceae,Ntr,Long,1,Tree
19,Abies fraseri,Fraser fir,Abies,Pinaceae,Ntr,Long,1,Tree
20,Abies grandis,grand fir,Abies,Pinaceae,Ntr,Long,1,Tree
21,Abies guatemalensis,Guatemalan fir,Abies,Pinaceae,Ntr,Long,1,Tree
22,Abies homolepis,Nikko fir,Abies,Pinaceae,Ntr,Long,1,Tree
23,Abies insignis,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
24,Abies lasiocarpa,subalpine fir,Abies,Pinaceae,Ntr,Long,1,Tree
25,Abies lasiocarpa var. arizonica,corkbark fir,Abies,Pinaceae,Ntr,Long,1,Tree
26,Abies lasiocarpa var. lasiocarpa,subalpine fir,Abies,Pinaceae,Ntr,Long,1,Tree
27,Abies magnifica,California red fir,Abies,Pinaceae,Ntr,Long,1,Tree
28,Abies marocana,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
29,Abies nebrodensis,,Abies,Pinaceae,Ntr,Long,1,Tree
30,Abies numidica,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
31,Abies pardei,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
32,Abies pinsapo,,AbiesIso,Pinaceae,Ntr,Long,1,Tree
33,Abies procera,noble fir,Abies,Pinaceae,Ntr,Long,1,Tree
34,Abies veitchii,Christmastree,Abies,Pinaceae,Ntr,Long,1,Tree
35,Abies x shastensis,Shasta red fir,Abies,Pinaceae,Ntr,Long,1,Tree
36,Abildgaardia,sedge,Abildgaardia,Cyperaceae,Herb,Moderate,1,Graminoid
37,Abildgaardia ovata,flatspike sedge,Abildgaardia,Cyperaceae,Herb,Moderate,1,Graminoid
38,Abronia,sand verbena,Abronia,Nyctaginaceae,Shrub,Long,1,Vine
39,Abronia alpina,Ramshaw Meadows sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
40,Abronia ameliae,Amelia's sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
41,Abronia ammophila,Wyoming sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
42,Abronia angustifolia,purple sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
43,Abronia argillosa,clay sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
44,Abronia bigelovii,Galisteo sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
45,Abronia bolackii,Bolack's sand verbena,Abronia,Nyctaginaceae,Unknown,Moderate,1,Unknown
46,Abronia carletonii,Carleton's sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
47,Abronia elliptica,fragrant white sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
48,Abronia fragrans,snowball sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
49,Abronia gracilis,slender sand verbena,Abronia,Nyctaginaceae,Herb,Short,1,Forb
50,Abronia insularis,island sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
51,Abronia latifolia,coastal sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
52,Abronia macrocarpa,largefruit sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
53,Abronia maritima,red sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
54,Abronia mellifera,white sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
55,Abronia minor,little sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
56,Abronia nana,dwarf sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
57,Abronia nana var. covillei,Coville's dwarf sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
58,Abronia nana var. harrisii,Harris' dwarf sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
59,Abronia nana var. nana,dwarf sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
60,Abronia neurophylla,beach sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
